,Number,Country,Total_cases,New_cases,Total_deaths,New_deaths,Total_Recovered,New_Recovered,Active_cases,Serious_critical_cases,Cases per 1 million population,Deaths per 1 million population,Total Tests,Test per 1 million population,Population,Continent
32,38,South Africa,"4,076,463",,"102,595",,"3,912,506",,"61,362",192,"67,095","1,689","26,795,090","441,027","60,756,135",Africa
33,39,Romania,"3,397,365",,"68,117",,"3,322,007",,"7,241",114,"178,514","3,579","27,242,332","1,431,446","19,031,335",Europe
34,40,Denmark,"3,181,299",,"8,632",,"3,171,868",,799,10,"545,214","1,479","129,276,094","22,155,476","5,834,950",Europe
35,41,Hong Kong,"2,896,978",,"13,647",,"2,871,779",,"11,552",28,"380,966","1,795","76,127,725","10,011,143","7,604,299",Asia
36,42,Sweden,"2,708,137",,"24,183",,"2,680,403",262,"3,551",8,"265,011","2,366","19,500,873","1,908,301","10,218,971",Europe
37,43,Serbia,"2,538,544",,"18,036",,"2,514,713",,"5,795",8,"293,371","2,084","12,849,867","1,485,016","8,653,016",Europe
38,44,Iraq,"2,465,545",,"25,375",,"2,439,497",,673,21,"58,474",602,"19,544,451","463,523","42,164,965",Asia
39,45,Singapore,"2,391,248",,"1,727",,"2,149,583",,"239,938",2,"402,327",291,"24,756,666","4,165,302","5,943,546",Asia
40,46,New Zealand,"2,336,352",,"4,202",,"2,321,339",,"10,811",,"476,981",858,"7,768,604","1,586,011","4,898,203",Australia/Oceania
41,47,Hungary,"2,202,179",,"48,859",,"2,149,848",,"3,472",8,"229,244","5,086","11,394,556","1,186,160","9,606,259",Europe
42,48,Bangladesh,"2,038,384",,"29,446",,"1,998,448",,"10,490",N/A,"12,141",175,"15,254,399","90,862","167,885,689",Asia
43,49,Slovakia,"1,866,647",,"21,167",,"1,845,145",,335,13,"341,865","3,877","7,428,816","1,360,541","5,460,193",Europe
44,50,Georgia,"1,840,187",,"17,059",,"1,776,548",,"46,580",,"463,671","4,298","16,920,079","4,263,340","3,968,738",Asia
45,51,Jordan,"1,746,997",,"14,122",,"1,731,007",,"1,868",59,"169,597","1,371","17,201,885","1,669,945","10,300,869",Asia
46,52,Ireland,"1,711,233",,"8,905",,"1,700,028",,"2,300",19,"340,870","1,774","13,083,449","2,606,161","5,020,199",Europe
47,53,Pakistan,"1,580,900",,"30,660",,"1,538,689",,"11,551",9,"6,889",134,"30,571,377","133,215","229,488,994",Asia
48,54,Norway,"1,483,639",,"5,435",,"1,477,634",81,570,20,"269,196",986,"11,002,430","1,996,315","5,511,370",Europe
49,55,Finland,"1,477,021",,"9,492",,"1,462,404",316,"5,125",21,"265,892","1,709","12,090,288","2,176,485","5,554,960",Europe
50,56,Kazakhstan,"1,411,831",,"13,848",,"1,383,020",,"14,963",24,"73,514",721,"11,575,012","602,707","19,205,043",Asia
51,57,Slovenia,"1,343,598",,"7,100",,"1,328,006",,"8,492",8,"646,572","3,417","2,847,701","1,370,382","2,078,034",Europe
52,58,Lithuania,"1,319,469",12,"9,674",,"1,308,213",21,"1,582",2,"495,723","3,635","10,443,748","3,923,702","2,661,708",Europe
53,59,Bulgaria,"1,305,922",,"38,353",,"1,265,384",,"2,185",31,"190,796","5,603","11,205,775","1,637,171","6,844,597",Europe
54,60,Morocco,"1,273,832",,"16,297",,"1,256,151",,"1,384",3,"33,724",431,"13,001,033","344,191","37,772,756",Africa
55,61,Croatia,"1,273,256",,"18,213",,"1,254,564",,479,6,"313,665","4,487","5,588,632","1,376,752","4,059,286",Europe
56,62,Guatemala,"1,250,268",,"20,199",,"1,228,286",,"1,783",5,"67,276","1,087","7,278,107","391,632","18,584,039",North America
57,63,Lebanon,"1,237,127",,"10,906",,"1,087,587",,"138,634",74,"185,064","1,631","4,795,578","717,380","6,684,849",Asia
58,64,Costa Rica,"1,229,587",,"9,362",,"860,711",,"359,514",52,"237,264","1,807","4,659,757","899,158","5,182,354",North America
59,65,Bolivia,"1,197,920",,"22,382",,"1,167,004",,"8,534",220,"99,888","1,866","2,705,422","225,590","11,992,656",South America
60,66,Tunisia,"1,153,063",,"29,407",,N/A,N/A,N/A,44,"95,716","2,441","5,011,219","415,984","12,046,656",Africa
61,67,Cuba,"1,113,617",,"8,530",,"1,104,930",,157,2,"98,501",754,"14,345,279","1,268,859","11,305,652",North America
62,68,UAE,"1,065,607",,"2,349",,"1,051,512",,"11,746",,"105,696",233,"200,615,238","19,898,782","10,081,785",Asia
63,70,Panama,"1,037,978",,"8,622",,"1,028,773",,583,16,"233,413","1,939","7,671,671","1,725,148","4,446,964",North America
64,71,Uruguay,"1,037,893",,"7,625",,"1,029,835",,433,18,"296,879","2,181","6,114,822","1,749,083","3,496,016",South America
65,72,Mongolia,"1,008,038",,"2,179",,"1,005,814",,45,192,"298,406",645,"4,030,048","1,193,000","3,378,078",Asia
66,73,Nepal,"1,003,222",6,"12,031",,"991,071",12,120,,"33,191",398,"6,040,671","199,853","30,225,582",Asia
67,74,Belarus,"994,037",,"7,118",,"985,592",,"1,327",,"105,381",755,"13,646,641","1,446,722","9,432,800",Europe
68,75,Latvia,"977,796",,"6,333",,"971,248",,215,13,"528,871","3,425","7,875,091","4,259,484","1,848,837",Europe
69,76,Saudi Arabia,"841,469",,"9,646",,"827,923",,"3,900",66,"23,475",269,"45,481,735","1,268,848","35,844,909",Asia
70,77,Azerbaijan,"831,648",,"10,268",,"821,279",,101,,"80,741",997,"7,602,283","738,071","10,300,205",Asia
71,78,Paraguay,"810,170",,"19,921",,N/A,N/A,N/A,7,"110,893","2,727","2,657,506","363,751","7,305,843",South America
72,79,Bahrain,"721,009",,"1,562",,"719,136",,311,1,"404,157",876,"10,839,448","6,075,982","1,783,983",Asia
73,80,Sri Lanka,"672,275",,"16,853",,"655,377",,45,,"31,159",781,"6,486,117","300,619","21,575,842",Asia
74,81,Kuwait,"665,851",,"2,570",,"660,237",,"3,044",,"152,009",587,"8,455,743","1,930,391","4,380,326",Asia
75,82,Dominican Republic,"661,103",,"4,384",,"644,785",,"11,934",4,"59,794",397,"3,740,928","338,350","11,056,370",North America
76,83,Cyprus,"660,854",,"1,364",,"657,086",,"2,404",60,"540,184","1,115","9,640,118","7,879,860","1,223,387",Asia
77,84,Myanmar,"637,103",,"19,494",,"615,863",,"1,746",,"11,536",353,"10,503,008","190,178","55,227,143",Asia
78,85,Palestine,"621,008",,"5,404",,"615,445",,159,17,"116,173","1,011","3,078,533","575,907","5,345,541",Asia
79,86,Moldova,"620,419",,"12,113",,"504,142",,"104,164",49,"154,596","3,018","3,216,305","801,437","4,013,171",Europe
80,87,Estonia,"618,218",,"3,001",,"524,990",,"90,227",2,"467,670","2,270","3,707,220","2,804,442","1,321,910",Europe
81,88,Venezuela,"552,695",,"5,856",,"546,537",,302,31,"18,885",200,"3,359,014","114,771","29,266,991",South America
82,89,Egypt,"516,023",,"24,613",,"442,182",,"49,228",122,"4,861",232,"3,693,367","34,792","106,156,692",Africa
83,90,Qatar,"510,596",,690,,"508,999",,907,29,"171,346",232,"4,065,369","1,364,257","2,979,915",Asia
84,91,Libya,"507,253",,"6,437",,"500,815",,1,,"72,045",914,"2,483,848","352,782","7,040,745",Africa
85,92,Ethiopia,"500,868",,"7,574",,"488,023",,"5,271",1,"4,146",63,"5,546,413","45,909","120,812,698",Africa
86,93,Réunion,"486,588",,921,,"418,572",,"67,095",10,"535,854","1,014","1,603,660","1,766,027","908,061",Africa
87,94,Honduras,"472,594",,"11,114",,N/A,N/A,N/A,105,"46,236","1,087","1,658,999","162,309","10,221,247",North America
88,95,Armenia,"449,062",,"8,747",,"435,162",,"5,153",,"151,099","2,943","3,242,901","1,091,164","2,971,966",Asia
89,96,Bosnia and Herzegovina,"402,890",,"16,339",,"379,084",,"7,467",,"123,992","5,028","1,884,721","580,036","3,249,317",Europe
90,97,Oman,"399,449",,"4,628",,"384,669",,"10,152",2,"75,028",869,"25,000,000","4,695,724","5,323,993",Asia
91,98,North Macedonia,"348,215",,"9,676",,"337,068",,"1,471",,"167,306","4,649","2,226,216","1,069,626","2,081,304",Europe
92,99,Zambia,"343,995",,"4,058",,"339,858",,79,,"17,668",208,"4,047,915","207,903","19,470,234",Africa
93,100,Kenya,"343,073",,"5,688",,"337,309",,76,1,"6,103",101,"3,967,062","70,569","56,215,221",Africa
94,101,Albania,"334,726",,"3,602",,"329,428",,"1,696",,"116,777","1,257","1,941,032","677,173","2,866,374",Europe
95,102,Botswana,"329,856",,"2,801",,"327,049",,6,1,"135,123","1,147","2,026,898","830,300","2,441,162",Africa
96,103,Luxembourg,"319,959",,"1,232",,"316,690",,"2,037",,"498,091","1,918","4,587,145","7,140,959","642,371",Europe
97,104,Brunei,"292,644",,225,,"243,601",,"48,818",3,"656,991",505,"717,784","1,611,437","445,431",Asia
98,105,Montenegro,"291,798",,"2,827",,"288,383",,588,6,"464,683","4,502","2,752,386","4,383,129","627,950",Europe
99,106,Algeria,"271,813",,"6,881",,"183,015",,"81,917",,"5,994",152,"230,960","5,093","45,350,148",Africa
100,107,Nigeria,"266,675",,"3,155",,"259,953",,"3,567",11,"1,230",15,"5,708,974","26,339","216,746,934",Africa
101,108,Zimbabwe,"264,776",,"5,689",,"258,888",,199,12,"17,270",371,"2,525,756","164,744","15,331,428",Africa
102,109,Uzbekistan,"253,287",,"1,637",,"241,486",,"10,164",23,"7,367",48,"1,377,915","40,077","34,382,084",Asia
103,110,Mozambique,"233,417",,"2,243",,"228,805",,"2,369",11,"7,054",68,"1,371,127","41,437","33,089,461",Africa
104,111,Martinique,"229,900",,"1,100",,N/A,N/A,N/A,12,"614,563","2,940","828,928","2,215,870","374,087",North America
105,112,Afghanistan,"218,642",,"7,907",,"194,954",,"15,781",45,"5,365",194,"1,247,278","30,605","40,754,388",Asia
106,113,Laos,"218,098",,758,,N/A,N/A,N/A,,"29,153",101,"1,233,207","164,845","7,481,023",Asia
107,114,Iceland,"209,191",,229,,N/A,N/A,N/A,2,"605,661",663,"1,996,384","5,780,036","345,393",Europe
108,115,Kyrgyzstan,"206,888",,"2,991",,"196,406",,"7,491",131,"30,749",445,"1,907,195","283,460","6,728,271",Asia
109,116,Guadeloupe,"202,653",,"1,017",,N/A,N/A,N/A,19,"506,894","2,544","938,039","2,346,306","399,794",North America
110,117,El Salvador,"201,785",,"4,230",,"179,410",,"18,145",8,"30,805",646,"2,610,114","398,467","6,550,389",North America
111,118,Trinidad and Tobago,"191,496",,"4,390",,"187,078",,28,8,"136,143","3,121","913,289","649,295","1,406,585",North America
112,119,Maldives,"186,526",,314,,"163,687",,"22,525",25,"344,790",580,"2,213,831","4,092,223","540,985",Asia
113,120,Ghana,"171,657",,"1,462",,"170,161",,34,2,"5,299",45,"2,536,496","78,298","32,395,450",Africa
114,121,Namibia,"171,222",,"4,090",,"167,099",,33,,"65,008","1,553","1,062,663","403,460","2,633,874",Africa
115,122,Uganda,"170,671",,"3,632",,"100,431",,"66,608",3,"3,524",75,"3,012,408","62,198","48,432,863",Africa
116,123,Jamaica,"154,874",,"3,536",,"102,899",,"48,439",,"51,882","1,185","1,183,986","396,633","2,985,094",North America
117,124,Cambodia,"138,736",,"3,056",,"135,679",1,1,,"8,081",178,"3,091,420","180,062","17,168,639",Asia
